userId,productId,category,price,quantity,date
69abeaa08e4e914c1fba1f48,69ad05fcbaa69b8a84efb12c,Sports,99.99,12,2026-03-08T17:28:08.310Z
69abeaa08e4e914c1fba1f48,69ad05fcbaa69b8a84efb12b,Sports,39.99,12,2026-03-08T17:28:08.310Z
69abeaa08e4e914c1fba1f48,69ad05fcbaa69b8a84efb12a,Sports,24.99,1,2026-03-08T17:28:08.310Z
69abeaa08e4e914c1fba1f48,69ad05fcbaa69b8a84efb128,Home,149.99,1,2026-03-08T17:28:08.310Z
69abeaa08e4e914c1fba1f48,69ad05fcbaa69b8a84efb127,Fashion,79.99,1,2026-03-08T17:28:08.310Z
69abeb4f8e4e914c1fba1f61,69ad05fcbaa69b8a84efb12c,Sports,99.99,8,2026-03-08T17:27:26.902Z
69abeb4f8e4e914c1fba1f61,69ad05fcbaa69b8a84efb12b,Sports,39.99,6,2026-03-08T17:27:26.902Z
69abeb4f8e4e914c1fba1f61,69aaf9a0f825c87585854644,Electronics,1299,1,2026-03-08T17:27:26.902Z
69ada625b9d0f68862833f62,69ad05fcbaa69b8a84efb128,Home,149.99,1,2026-03-08T17:25:02.402Z
69ada625b9d0f68862833f62,69aaf9a0f825c87585854644,Electronics,1299,1,2026-03-08T17:25:02.402Z
69ada625b9d0f68862833f62,69ad05fcbaa69b8a84efb128,Home,149.99,1,2026-03-08T17:23:40.359Z
